Page;Brand;URL
Home;All;https://www.allerservice.dk/
Checkout;All;https://www.allerservice.dk/checkout
Order success page;All;
Product page;7;https://www.allerservice.dk/brands/7-tv-dage
Product page;billed;https://www.allerservice.dk/brands/billed-bladet
Product page;familie;https://www.allerservice.dk/brands/familie-journal
Product page;femina;https://www.allerservice.dk/brands/femina
Product page;isabellas;https://www.allerservice.dk/brands/isabellas
Product page;se;https://www.allerservice.dk/brands/se-og-hor
Product page;spis;https://www.allerservice.dk/brands/spis-bedre
Product page;sondag;https://www.allerservice.dk/brands/sondag
Product page;ude;https://www.allerservice.dk/brands/ude-og-hjemme
Product page;kryds;https://www.allerservice.dk/brands/familie-journal-kryds-tvars
Unlimited;7;https://www.allerservice.dk/brands/7-tv-dage/7-tv-dage-unlimited__155
Premium;7;https://www.allerservice.dk/brands/7-tv-dage/7-tv-dage-premium__38
Digital;7;https://www.allerservice.dk/brands/7-tv-dage/7-tv-dage-digital__42
Unlimited;billed;https://www.allerservice.dk/brands/billed-bladet/billed-bladet-unlimited__150
Premium;billed;https://www.allerservice.dk/brands/billed-bladet/billed-bladet-premium__52
Digital;billed;https://www.allerservice.dk/brands/billed-bladet/billed-bladet-digital__51
Unlimited;familie;https://www.allerservice.dk/brands/familie-journal/familie-journal-unlimited__151
Premium;familie;https://www.allerservice.dk/brands/familie-journal/familie-journal-premium__56
Digital;familie;https://www.allerservice.dk/brands/familie-journal/familie-journal-digital__54
Unlimited;femina;https://www.allerservice.dk/brands/femina/femina-unlimited__187
Premium;femina;https://www.allerservice.dk/brands/femina/femina-premium__186
Digital;femina;https://www.allerservice.dk/brands/femina/femina-digital-only__189
Unlimited;isabellas;https://www.allerservice.dk/brands/isabellas/isabellas-unlimited__156
Premium;isabellas;https://www.allerservice.dk/brands/isabellas/isabellas-premium__62
Digital;isabellas;https://www.allerservice.dk/brands/isabellas/isabellas-digital__61
Unlimited;se;https://www.allerservice.dk/brands/se-og-hor/se-og-hoer-unlimited__152
Premium;se;https://www.allerservice.dk/brands/se-og-hor/se-og-hor-premium__70
Digital;se;https://www.allerservice.dk/brands/se-og-hor/se-og-hor-digital__68
Unlimited;spis;https://www.allerservice.dk/brands/spis-bedre/spis-bedre-unlimited__157
Premium;spis;https://www.allerservice.dk/brands/spis-bedre/spis-bedre-premium__59
Digital;spis;https://www.allerservice.dk/brands/spis-bedre/spis-bedre-digital__58
Unlimited;sondag;https://www.allerservice.dk/brands/sondag/sondag-unlimited__153
Premium;sondag;https://www.allerservice.dk/brands/sondag/sondag-premium__74
Digital;sondag;https://www.allerservice.dk/brands/sondag/sondag-digital__71
Unlimited;ude;https://www.allerservice.dk/brands/ude-og-hjemme/ude-og-hjemme-unlimited__154
Premium;ude;https://www.allerservice.dk/brands/ude-og-hjemme/ude-og-hjemme-premium__76
Digital;ude;https://www.allerservice.dk/brands/ude-og-hjemme/ude-og-hjemme-digital__77
Premium;kryds;https://www.allerservice.dk/brands/familie-journal-kryds-tvars/familie-journal-kryds-tvars-premium__87
Gift;7;https://www.allerservice.dk/brands/7-tv-dage/7-tv-dage-gave__48
Gift;billed;https://www.allerservice.dk/brands/billed-bladet/billed-bladet-gave__53
Gift;familie;https://www.allerservice.dk/brands/familie-journal/familie-journal-gave__57
Gift;femina;https://www.allerservice.dk/brands/femina/femina-gave__185
Gift;isabellas;https://www.allerservice.dk/brands/isabellas/isabellas-gave__63
Gift;se;https://www.allerservice.dk/brands/se-og-hor/se-og-hor-gave__69
